Structure,Structure_ID,612285_Ki(nM),612286_IC50(nM),Data,calc_logP,calc_TPSA,SMILES
603748,603748,209,71000,12,2,129.1,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC=CC(=N2)C1=CC=CC=C1
603747,603747,5700,100000,12,2,129.1,CCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC=N2)C1=CC=CC=C1
603785,603785,12,2100,12,3.7,158.7,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCN(CC2)C(=O)C(F)(F)F
568230,568230,64,28000,12,2.8,141.2,CCCNC3=CC(=NC(=C3)C1=CC=CC=C1)C(=O)NC(CCC(=O)O)C(=O)N2CCN(CC2)C(=O)OCC
604476,604476,20,21000,12,3.3,149.4,CCCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)O
604184,604184,2.6,580,12,3.3,149.4,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)C(=O)N(C)CC
566427,566427,3.5,500,12,3.3,150.4,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCNCC2
603758,603758,11,1800,12,3.3,150.4,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCCCN2
604168,604168,2.7,1200,12,3,144.4,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(CC2)NC
604177,604177,2.4,1800,12,3.4,152.6,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)N2CCC(CO)CC2
603781,603781,9.4,1200,12,3.3,150.8,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCN(CCOC)CC2
604271,604271,2.1,2900,12,3.2,149.4,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)CCC(=O)N(C)C
604022,604022,9.8,3200,12,3.2,150.4,CCCCCOC(=O)N3CCN(CC3)C(=O)C(CCC(=O)O)NC(=O)C2=CC(=CC(=N2)C1=CC=CC=C1)NCCOC
603805,603805,7.6,4000,12,4,167.9,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OCC2CCN(CC2)C(=O)OCC
603766,603766,45,470,12,4,167.9,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC(=O)N(C)CC2CCOCC2
604191,604191,11,350,13,3.3,152.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)C(=O)N(C)C2CCN(C)CC2
604195,604195,5.4,580,13,3.3,152.7,CCCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)C(=O)N2CCC(CC2)N(C)C
603787,603787,2.4,520,13,3.2,150.8,CCCCOC(=O)N4CCN(CC4)C(=O)C(CCC(=O)O)NC(=O)C3=CC(=CC(=N3)C1=CC=CC=C1)OC2CCN(COC)CC2
